text,primary_emotion,secondary_emotion
I enjoy solving difficult problems in Git while completing homework and i cannot understand the examples of git while completing homework.,Curious,Confused
I keep making the same mistakes in MongoDB while debugging.,Frustrated,
I don't understand why my solution is wrong in Linear Algebra while practicing coding but i enjoy solving difficult problems in linear algebra while practicing coding.,Confused,Curious
I want to participate in competitions related to MySQL while practicing coding and i can solve difficult mysql questions while practicing coding.,Curious,Confident
I find Biology extremely difficult during lab sessions.,Confused,
I find Cloud Computing extremely difficult while attending lectures.,Confused,
I enjoy exploring new ideas in Computer Architecture before exams because i am confident in computer architecture before exams.,Curious,Confident
I don't know which approach to use in Data Structures while reading textbooks.,Confused,
I keep getting distracted during Data Structures while practicing coding.,Bored,
I want to build projects using Computer Architecture while solving previous papers.,Curious,
I want to build projects using JavaScript while practicing coding.,Curious,
I enjoy helping others understand Node.js while attending lectures however i don't know why node.js is so difficult while attending lectures.,Confident,Frustrated
I find Ethical Hacking repetitive while debugging.,Bored,
I enjoy learning Computer Architecture while practicing coding.,Curious,
I cannot complete my Linux assignment while solving assignments.,Frustrated,
I like discovering new topics in Blockchain while debugging.,Curious,
I enjoy learning Git during lab sessions at the same time i enjoy solving advanced git problems during lab sessions.,Curious,Confident
I enjoy exploring new ideas in Blockchain while completing homework.,Curious,
I feel bored while studying JavaScript while preparing notes.,Bored,
I don't enjoy learning Azure anymore while debugging.,Bored,
I can solve difficult Deep Learning questions while completing homework because i enjoy experimenting with deep learning while completing homework.,Confident,Curious
I cannot understand the examples of Discrete Mathematics while preparing for interviews.,Confused,
I don't know why Chemistry is so difficult while studying late at night at the same time i enjoy solving advanced chemistry problems while studying late at night.,Frustrated,Confident
I enjoy solving difficult problems in Digital Electronics while preparing for interviews because i keep asking questions because digital electronics confuses me while preparing for interviews.,Curious,Confused
I want to build projects using Flutter while studying late at night.,Curious,
I scored excellent marks in Flutter while preparing notes.,Confident,
I can complete C++ tasks without help while building projects.,Confident,
I keep getting confused whenever I study Python while solving assignments although i am excited to study python while solving assignments.,Confused,Curious
I keep making the same mistakes in Docker during online classes although i scored excellent marks in docker during online classes.,Frustrated,Confident
I lose interest in Blockchain while preparing for interviews although i don't know which approach to use in blockchain while preparing for interviews.,Bored,Confused
I cannot solve even simple problems in Computer Networks while preparing for interviews.,Frustrated,
I want to improve my knowledge in Kubernetes while studying late at night.,Curious,
I find HTML extremely difficult while completing homework.,Confused,
I wish Physics was more interesting while completing homework but i am unable to understand physics while completing homework.,Bored,Confused
I am excited to study MongoDB while completing homework while i am unable to understand mongodb while completing homework.,Curious,Confused
I am interested in advanced Blockchain concepts while attending lectures.,Curious,
I don't know which approach to use in C++ while writing code.,Confused,
I keep getting errors while learning Java while preparing for interviews.,Frustrated,
I like discovering new topics in Cyber Security while solving assignments.,Curious,
I am exhausted after practicing Flutter while writing code.,Frustrated,
I am excited to study Compiler Design before exams while i read the topic many times but still don't understand compiler design before exams.,Curious,Confused
I feel disappointed with my performance in Mathematics while studying late at night.,Frustrated,
I feel overwhelmed while studying Artificial Intelligence while preparing for interviews.,Frustrated,
I don't know how to solve Kubernetes while attending lectures and i want to know more about kubernetes while attending lectures.,Confused,Curious
I don't enjoy practicing Biology while debugging.,Bored,
I find Deep Learning repetitive while attending lectures.,Bored,
I cannot stay engaged while learning Computer Vision during lab sessions at the same time i cannot understand the logic behind computer vision during lab sessions.,Bored,Confused
I cannot differentiate the concepts in AWS while studying late at night.,Confused,
I can debug Calculus programs easily during online classes.,Confident,
I solved all the problems in Azure while building projects.,Confident,
I cannot stay focused during Artificial Intelligence while solving previous papers yet i keep making the same mistakes in artificial intelligence while solving previous papers.,Bored,Frustrated
I want to know more about Android Development while studying late at night at the same time i cannot differentiate the concepts in android development while studying late at night.,Curious,Confused
I am exhausted after practicing Linux while reading textbooks even though i believe i have mastered linux while reading textbooks.,Frustrated,Confident
I don't know where I am making mistakes in Flutter while solving previous papers.,Confused,
I enjoy helping others understand Blockchain while preparing notes.,Confident,
I enjoy helping others understand C++ while completing homework.,Confident,
I am not interested in Computer Architecture anymore while preparing for interviews and i spent hours studying computer architecture but still failed while preparing for interviews.,Bored,Frustrated
I don't know which approach to use in Cyber Security while attending lectures.,Confused,
I enjoy solving difficult problems in Statistics while solving previous papers while i feel prepared for my statistics exam while solving previous papers.,Curious,Confident
I don't enjoy learning Linux anymore while attending lectures.,Bored,
I cannot solve even simple problems in Streamlit before exams.,Frustrated,
I want to participate in competitions related to IoT while building projects at the same time i practice iot every day while building projects.,Curious,Confident
I feel like giving up on HTML while attending lectures.,Frustrated,
I don't understand the syntax of Digital Electronics during online classes however i am exhausted after practicing digital electronics during online classes.,Confused,Frustrated
I cannot understand the logic behind Operating Systems while debugging.,Confused,
I love reading about Operating Systems during lab sessions.,Curious,
I enjoy experimenting with Artificial Intelligence while building projects.,Curious,
I don't know how to solve Mathematics while building projects.,Confused,
I get confused every time I practice Artificial Intelligence while building projects.,Confused,
I feel comfortable learning Docker while solving assignments.,Confident,
I cannot solve even simple problems in Cloud Computing while studying late at night.,Frustrated,
I solved all coding challenges in HTML while solving previous papers yet i worked very hard but still don't understand html while solving previous papers.,Confident,Frustrated
I keep failing while practicing Computer Vision while attending lectures.,Frustrated,
I postpone studying React because it feels boring while preparing notes.,Bored,
I feel lazy whenever I open Computer Vision while writing code.,Bored,
I am frustrated with Statistics while debugging at the same time i can answer any question related to statistics while debugging.,Frustrated,Confident
I don't like solving Chemistry problems anymore during lab sessions while i always fail in chemistry during lab sessions.,Bored,Frustrated
I am confused about Node.js while solving previous papers.,Confused,
I want to become an expert in Data Science while reading textbooks.,Curious,
I am not interested in Operating Systems anymore while writing code.,Bored,
I am confident in Blockchain during lab sessions but i don't know why blockchain is so difficult during lab sessions.,Confident,Frustrated
I worked very hard but still don't understand Node.js while building projects.,Frustrated,
I feel lazy whenever I open Computer Architecture during online classes.,Bored,
I want to become an expert in Chemistry while writing code while i don't understand the syntax of chemistry while writing code.,Curious,Confused
I cannot understand the examples of Node.js while preparing for interviews.,Confused,
I keep forgetting the concepts of Data Science during online classes.,Confused,
I can answer any question related to C during lab sessions.,Confident,
I keep getting confused whenever I study C++ while preparing for interviews and i want to understand every concept of c++ while preparing for interviews.,Confused,Curious
I cannot solve even simple problems in Biology while solving assignments.,Frustrated,
I am confident in GitHub while preparing for interviews.,Confident,
I feel lazy whenever I open MySQL while practicing coding.,Bored,
I enjoy experimenting with Algorithms while reading textbooks.,Curious,
I don't feel motivated to study Android Development during online classes.,Bored,
I wish MongoDB was more interesting while preparing for interviews but i read the topic many times but still don't understand mongodb while preparing for interviews.,Bored,Confused
I postpone studying Computer Vision because it feels boring while solving previous papers because i lose confidence every time i study computer vision while solving previous papers.,Bored,Frustrated
I cannot understand the examples of Compiler Design during online classes.,Confused,
I practice Flutter every day while building projects.,Confident,
I keep forgetting the concepts of Git while preparing for interviews while i am interested in advanced git concepts while preparing for interviews.,Confused,Curious
I am unable to understand Statistics while debugging yet i enjoy exploring new ideas in statistics while debugging.,Confused,Curious
I enjoy solving difficult problems in NLP while reading textbooks yet i cannot stay engaged while learning nlp while reading textbooks.,Curious,Bored
I want to build projects using Cloud Computing while solving previous papers although i don't understand cloud computing while solving previous papers.,Curious,Confused
I cannot complete my Computer Networks assignment while practicing coding.,Frustrated,
I enjoy solving advanced MongoDB problems while debugging because i keep making the same mistakes in mongodb while debugging.,Confident,Frustrated
I postpone studying Physics because it feels boring while preparing for interviews.,Bored,
I want to master Algorithms while solving assignments.,Curious,
I built a complete application using CSS while preparing notes however i feel disappointed with my performance in css while preparing notes.,Confident,Frustrated
I want to understand every concept of Ethical Hacking while solving previous papers.,Curious,
I don't like solving Algorithms problems anymore while preparing notes but i am unable to understand algorithms while preparing notes.,Bored,Confused
I enjoy solving difficult problems in Machine Learning while solving previous papers.,Curious,
I solved all coding challenges in Mathematics while building projects.,Confident,
