text,Bored,Confident,Confused,Curious,Frustrated
I enjoy solving difficult problems in Git while completing homework and i cannot understand the examples of git while completing homework.,0,0,1,1,0
I keep making the same mistakes in MongoDB while debugging.,0,0,0,0,1
I don't understand why my solution is wrong in Linear Algebra while practicing coding but i enjoy solving difficult problems in linear algebra while practicing coding.,0,0,1,1,0
I want to participate in competitions related to MySQL while practicing coding and i can solve difficult mysql questions while practicing coding.,0,1,0,1,0
I find Biology extremely difficult during lab sessions.,0,0,1,0,0
I find Cloud Computing extremely difficult while attending lectures.,0,0,1,0,0
I enjoy exploring new ideas in Computer Architecture before exams because i am confident in computer architecture before exams.,0,1,0,1,0
I don't know which approach to use in Data Structures while reading textbooks.,0,0,1,0,0
I keep getting distracted during Data Structures while practicing coding.,1,0,0,0,0
I want to build projects using Computer Architecture while solving previous papers.,0,0,0,1,0
I want to build projects using JavaScript while practicing coding.,0,0,0,1,0
I enjoy helping others understand Node.js while attending lectures however i don't know why node.js is so difficult while attending lectures.,0,1,0,0,1
I find Ethical Hacking repetitive while debugging.,1,0,0,0,0
I enjoy learning Computer Architecture while practicing coding.,0,0,0,1,0
I cannot complete my Linux assignment while solving assignments.,0,0,0,0,1
I like discovering new topics in Blockchain while debugging.,0,0,0,1,0
I enjoy learning Git during lab sessions at the same time i enjoy solving advanced git problems during lab sessions.,0,1,0,1,0
I enjoy exploring new ideas in Blockchain while completing homework.,0,0,0,1,0
I feel bored while studying JavaScript while preparing notes.,1,0,0,0,0
I don't enjoy learning Azure anymore while debugging.,1,0,0,0,0
I can solve difficult Deep Learning questions while completing homework because i enjoy experimenting with deep learning while completing homework.,0,1,0,1,0
I cannot understand the examples of Discrete Mathematics while preparing for interviews.,0,0,1,0,0
I don't know why Chemistry is so difficult while studying late at night at the same time i enjoy solving advanced chemistry problems while studying late at night.,0,1,0,0,1
I enjoy solving difficult problems in Digital Electronics while preparing for interviews because i keep asking questions because digital electronics confuses me while preparing for interviews.,0,0,1,1,0
I want to build projects using Flutter while studying late at night.,0,0,0,1,0
I scored excellent marks in Flutter while preparing notes.,0,1,0,0,0
I can complete C++ tasks without help while building projects.,0,1,0,0,0
